ligand,receptor,source,target,label
SLITRK4,PTPRS,Q8IW52,Q13332,1
SEMA3C,NRP2,Q99985,O60462,1
PRSS1,F2RL3,P07477,Q96RI0,1
AKR1B1,PTGFR,COMPLEX:P15121,P43088,1
LAMA3,ITGAV_ITGB8,Q16787,P06756_P26012,1
COL6A2,ITGA11_ITGB1,P12110,Q9UKX5_P05556,1
SERPINF1,WNT1,P36955,P04628,1
RSPO4,WNT6,Q2I0M5,Q9Y6F9,1
FGF4,FGFR2,P08620,P21802,1
CALM1,PTH2R,P0DP23,P49190,1
MPZ,MPZL1,P25189,O95297,1
LAMB3,ITGA3,Q13751,P26006,1
HLA-DRB3,CD4,P79483,P01730,1
WNT1,FZD1_LRP6,P04628,Q9UP38_O75581,1
PDGFD,PDGFRA,Q9GZP0,P16234,1
GLS_SLC1A7,GRIA1,COMPLEX:O00341_O94925,P42261,1
GLS2_SLC1A3,GRM1,COMPLEX:P43003_Q9UI32,Q13255,1
GAD2_SLC6A12,GABRA1_GABRB2,COMPLEX:P48065_Q05329,NA_NA,1
LRPAP1,LRP2,P30533,P98164,1
SELPLG,ITGAM,Q14242,P11215,1
LAMC2,ITGA2_ITGB1,Q13753,P17301_P05556,1
TENM4,ADGRL2,Q6N022,O95490,1
TNFRSF10B,TNFSF10,O14763,P50591,1
CCL8,CXCR3,P80075,P49682,1
PROC,ITGB2,P04070,P05107,1
IGFBP4,IGF2,P22692,P01344,1
GNAI2,S1PR4,P04899,O95977,1
COL4A4,CD44,P53420,P16070,1
ADM2,CALCRL_RAMP2,Q7Z4H4,Q16602_O60895,1
RLN3,GPR84,Q8WXF3,Q9NQS5,1
EFNA1,EPHA1,P20827,P21709,1
CALM1,HTR2C,P0DP23,P28335,1
SERPING1,LRP1,P05155,Q07954,1
GLS2_SLC1A1,GRIK3_GRIK5,COMPLEX:P43005_Q9UI32,Q13003_NA,1
CALM1,PLPP6,P0DP23,Q8IY26,1
COL4A3,ITGA3,Q01955,P26006,1
DBH_SLC18A2,ADRA2B,COMPLEX:P09172_Q05940,P18089,1
NOTUM,WNT6,Q6P988,Q9Y6F9,1
GH1,PRLR,P01241,P16471,1
FGA,ITGB2,P02671,P05107,1
PTGES3,PTGER2,COMPLEX:Q15185,P43116,1
CCL18,ERG28,P55774,Q9UKR5,1
GAD1_SLC6A6,GABBR2,COMPLEX:P31641_Q99259,O75899,1
NMS,NMUR1,Q5H8A3,Q9HB89,1
BMP7,ACVR2A_BMPR1A,P18075,P27037_P36894,1
CHAT_SLC10A4,CHRM4,COMPLEX:P28329_Q96EP9,P08173,1
CXCL16,ADRA2A,Q9H2A7,P08913,1
RLN3,RAMP3,Q8WXF3,O60896,1
C1QL2,ADGRB3,Q7Z5L3,O60242,1
WNT3,FZD1,P56703,Q9UP38,1
HLA-DRA,CD4,P01903,P01730,1
SEMA3F,NRP2,Q13275,O60462,1
WNT16,FZD8_LRP6,Q9UBV4,Q9H461_O75581,1
FARP2,PLXNA1,O94887,Q9UIW2,1
HSPA1A,TLR4,P0DMV8,O00206,1
LAMA2,ITGA3,P24043,P26006,1
LAMA2,ITGA6,P24043,P23229,1
IL1B,ADRB2,P01584,P07550,1
CALM1,ADCYAP1R1,P0DP23,P41586,1
GDF5,ACVR2A_BMPR1A,P43026,P27037_P36894,1
IRAK4,TLR4,Q9NWZ3,O00206,1
PROK1,PROKR2,P58294,Q8NFJ6,1
WNT5A,FZD4,P41221,Q9ULV1,1
COL6A5,CD44,A8TX70,P16070,1
GAD2_SLC6A6,GABRA1_GABRB2_GABRG2,COMPLEX:P31641_Q05329,NA_NA_NA,1
TPH1,HTR1F,P17752,P30939,1
GDF9,ACVR1B_BMPR2,O60383,P36896_Q13873,1
LAMA4,ITGAV_ITGB8,Q16363,P06756_P26012,1
CER1,WNT4,O95813,P56705,1
CALM2,KCNQ3,P0DP24,O43525,1
HLA-F,LILRB2,P30511,Q8N423,1
CCL17,CCR4,Q92583,P51679,1
RLN2,PTH1R,P04090,Q03431,1
ADAM23,ITGB3,O75077,P05106,1
ADM,ADCYAP1R1,P35318,P41586,1
EFNB1,EPHB4,P98172,P54760,1
ITGAV_ITGB1,ADGRE2,COMPLEX:P05556_P06756,Q9UHX3,1
IL24,IL20RB,Q13007,Q6UXL0,1
RLN3,VIPR1,Q8WXF3,P32241,1
GGT1_GGT5,GPR17,COMPLEX:P19440_P36269,Q13304,1
ASMT,MTNR1B,COMPLEX:P46597,P49286,1
ANGPT2,TEK,O15123,Q02763,1
INHBA,SMAD3,P08476,P84022,1
GDF1,BMPR1B,P27539,O00238,1
TSHB,PTH1R,P01222,Q03431,1
LTBP1,TGFB2,Q14766,P61812,1
TPH1,HTR2C,P17752,P28335,1
SERPINF1,WNT7B,P36955,P56706,1
TENM3,ADGRL1,Q9P273,O94910,1
WNT1,LRP6,P04628,O75581,1
NOTCH4,DLL4,Q99466,Q9NR61,1
IL2,GYPE,P60568,P15421,1
SFRP1,WNT6,Q8N474,Q9Y6F9,1
GNAI2,ADORA1,P04899,P30542,1
EPGN,EGFR,Q6UW88,P00533,1
SAA1,SCARB1,P0DJI8,Q8WTV0,1
GDF10,BMPR2,P55107,Q13873,1
HSPG2,COL13A1,P98160,Q5TAT6,1
CX3CL1,CX3CR1,P78423,P49238,1
DKK2,WNT3A,Q9UBU2,P56704,1
INHBB,GDF1,P09529,P27539,1
DAGLA,GPR55,COMPLEX:Q9Y4D2,Q9Y2T6,1
TENM3,ADGRL2,Q9P273,O95490,1
ZP3,EGFR,P21754,P00533,1
COL1A1,ITGA1,P02452,P56199,1
SLC18A1_TPH1,HTR1A,COMPLEX:P17752_P54219,P08908,1
COL6A1,ITGA1,P12109,P56199,1
NOTUM,WNT9A,Q6P988,O14904,1
WNT9A,FZD8_LRP6,O14904,Q9H461_O75581,1
NPY,NPY4R,P01303,P50391,1
SLURP2,CHRNG,P0DP57,P07510,1
CHAT,CHRM3,COMPLEX:P28329,P20309,1
NRG1,ERBB3,Q02297,P21860,1
HLA-DOA,CD4,P06340,P01730,1
CCL13,ACKR4,Q99616,Q9NPB9,1
NRTN,RET,Q99748,P07949,1
CALM1,MYLK,P0DP23,Q15746,1
NMS,ADRA2A,Q5H8A3,P08913,1
LEP,LRP2,P41159,P98164,1
SOSTDC1,WNT8A,Q6X4U4,Q9H1J5,1
VIP,RAMP3,P01282,O60896,1
GLS2_SLC1A1,GRM8,COMPLEX:P43005_Q9UI32,O00222,1
PTHLH,ADCYAP1R1,P12272,P41586,1
LAMB3,ITGA7_ITGB1,Q13751,Q13683_P05556,1
GLS_SLC1A7,GRIK3_GRIK5,COMPLEX:O00341_O94925,Q13003_NA,1
ANKRD13C-DT,CHRM3,Q9XRX5,P20309,1
GLS_SLC1A2,GRIK1,COMPLEX:O94925_P43004,P39086,1
GLS2_SLC1A7,GRIN1_GRIN2B,COMPLEX:O00341_Q9UI32,NA_NA,1
GDF9,BMPR1B,O60383,O00238,1
THBS1,ITGA3_ITGB1,P07996,P26006_P05556,1
IAPP,GPR20,P10997,Q99678,1
AGT,LRP2,P01019,P98164,1
ENTPD1,ADORA2A,P49961,P29274,1
EPHA8,EFNA3,P29322,P52797,1
GLS_SLC1A6,GRM4,COMPLEX:O94925_P48664,Q14833,1
GAD1_SLC6A13,GABBR1,COMPLEX:Q99259_Q9NSD5,Q9UBS5,1
INHA,ACVR1B_ACVR2B,P05111,P36896_Q13705,1
C1QA,CSPG4,P02745,Q6UVK1,1
PLG,FLT1,P00747,P17948,1
TNR,SDC4,Q92752,P31431,1
SLC18A2_TPH2,HTR1B,COMPLEX:Q05940_Q8IWU9,P28222,1
WNT2,FZD6_LRP6,P09544,O60353_O75581,1
BMP2,ACVR2B_BMPR1A,P12643,Q13705_P36894,1
APOB,MTTP,P04114,P55157,1
AGRN,LRP2,O00468,P98164,1
COL6A1,ITGA6,P12109,P23229,1
NPS,RAMP2,P0C0P6,O60895,1
TNN,SDC4,Q9UQP3,P31431,1
GAD1_SLC6A13,GABBR2,COMPLEX:Q99259_Q9NSD5,O75899,1
HLA-F,VSIR,P30511,Q9H7M9,1
CXCL11,CCR3,O14625,P51677,1
APOE,LRP2,P02649,P98164,1
SLC18A1_TPH1,HTR1D,COMPLEX:P17752_P54219,P28221,1
TYROBP,CD44,O43914,P16070,1
RSPO4,LGR5,Q2I0M5,O75473,1
COL6A1,ITGA2_ITGB1,P12109,P17301_P05556,1
C1QA,CD93,P02745,Q9NPY3,1
ADAM15,ITGB1,Q13444,P05556,1
HRAS,SDC2,P01112,P34741,1
CALM2,MYLK2,P0DP24,Q9H1R3,1
NRXN3,NLGN3,Q9Y4C0,Q9NZ94,1
PDGFA,PDGFRA,P04085,P16234,1
NLGN3,NRXN1,Q9NZ94,P58400,1
GLS_SLC17A6,GRIK2_GRIK5,COMPLEX:O94925_Q9P2U8,Q13002_NA,1
WNT2,FZD4_LRP5,P09544,Q9ULV1_O75197,1
L1CAM,ITGA5,P32004,P08648,1
SEMA4D,PLXNB1,Q92854,O43157,1
CALM1,TRPC3,P0DP23,Q13507,1
DKK2,WNT9A,Q9UBU2,O14904,1
HLA-DPA1,CD4,P20036,P01730,1
IL12B,IL12RB1,P29460,P42701,1
WNT9A,FZD1,O14904,Q9UP38,1
DDC,HTR3B,COMPLEX:P20711,O95264,1
FN1,ITGB6,P02751,P18564,1
BAMBI,FZD4_LRP6,Q13145,Q9ULV1_O75581,1
NCAM1,GFRA1,P13591,P56159,1
APOB,ITGAM,P04114,P11215,1
DBH_SLC18A2,ADRA2A,COMPLEX:P09172_Q05940,P08913,1
IL22,IL10RB,Q9GZX6,Q08334,1
GREM1,KDR,O60565,P35968,1
UCN,CRHR2,P55089,Q13324,1
SFRP4,WNT7A,Q6FHJ7,O00755,1
SFTPA2,CD93,Q8IWL1,Q9NPY3,1
SST,SSTR3,P61278,P32745,1
RSPO4,WNT8B,Q2I0M5,Q93098,1
IL31,IL31RA_OSMR,Q6EBC2,Q8NI17_Q99650,1
IL20,IL20RB_IL22RA1,Q9NYY1,Q6UXL0_Q8N6P7,1
GAD1_SLC6A13,GABRA1_GABRB2,COMPLEX:Q99259_Q9NSD5,NA_NA,1
WNT16,FZD1,Q9UBV4,Q9UP38,1
HLA-C,DDR1,P10321,Q08345,1
GAD1_SLC6A6,GABRA1_GABRB3,COMPLEX:P31641_Q99259,NA_NA,1
CALM3,KCNQ3,P0DP25,O43525,1
WNT1,FZD7,P04628,O75084,1
CCL5,ADRA2A,P13501,P08913,1
KLRD1,HLA-C,Q13241,P10321,1
WNT2,FZD2_LRP6,P09544,Q14332_O75581,1
FSHB,RAMP2,P01225,O60895,1
BMP5,ACVR1_ACVR2A,P22003,Q04771_P27037,1
WNT3A,FZD7,P56704,O75084,1
PLG,F2RL3,P00747,Q96RI0,1
WNT5A,MCAM,P41221,P43121,1
PTGES2,PTGER4,COMPLEX:Q9H7Z7,P35408,1
WNT10B,FZD7_LRP5,O00744,O75084_O75197,1
RNF43,FZD1_LRP6,Q68DV7,Q9UP38_O75581,1
ZNRF3,FZD6_LRP6,Q9ULT6,O60353_O75581,1
IL20,IL20RB,Q9NYY1,Q6UXL0,1
DUSP18,ITGA6,Q8NEJ0,P23229,1
COL4A1,ADGRG6,P02462,Q86SQ4,1
VTN,ITGAV_ITGB3,P04004,P06756_P05106,1
CNTN2,CNTNAP2,Q02246,Q9UHC6,1
WNT3A,FZD8,P56704,Q9H461,1
COL2A1,SDC4,P02458,P31431,1
BDNF,DRD4,P23560,P21917,1
FGF9,FGFR1,P31371,P11362,1
CCL16,GRM7,O15467,Q14831,1
PTH,RAMP2,P01270,O60895,1
GDF7,ACVR1C,Q7Z4P5,Q8NER5,1
BMP10,ACVR2A_ACVRL1,O95393,P27037_P37023,1
AGRP,MC5R,O00253,P33032,1
GLS2_SLC1A6,GRIN1_GRIN2C,COMPLEX:P48664_Q9UI32,NA_Q14957,1
EFNB3,F8WCM8,Q15768,F8WCM8,1
CLEC4M,ICAM1,Q9H2X3,P05362,1
CCL8,CCR3,P80075,P51677,1
CXCL1,CXCR2,P09341,P25025,1
GAD2_SLC6A8,GABRA6_GABRB3_GABRD,COMPLEX:P48029_Q05329,NA_NA_NA,1
TNFRSF11B,TNFSF10,O00300,P50591,1
F2,GP1BB,P00734,P13224,1
DKK1,WNT3,O94907,P56703,1
M0R343,CDH7,M0R343,Q9ULB5,1
SLC18A1_TPH2,HTR1E,COMPLEX:P54219_Q8IWU9,P28566,1
WNT2,FZD4_LRP6,P09544,Q9ULV1_O75581,1
CALM3,ADCY8,P0DP25,P40145,1
L1CAM,FGFR2,P32004,P21802,1
CCL13,CXCR3,Q99616,P49682,1
CER1,WNT8A,O95813,Q9H1J5,1
IL18,IL18_IL18R1_IL18RAP,Q14116,Q14116_Q13478_O95256,1
CALM2,INSR,P0DP24,P06213,1
PENK,OGFR,P01210,Q9NZT2,1
WNT4,FZD6_LRP6,P56705,O60353_O75581,1
IL1B,IL1B_IL1R2_IL1RAP,P01584,P01584_P27930_Q9NPH3,1
DIO3_TG,THRB,COMPLEX:P01266_P55073,P10828,1
COL4A6,CD47,Q14031,Q08722,1
SPON2,ITGB2,Q9BUD6,P05107,1
CALM1,PDE1B,P0DP23,Q01064,1
FGA,ITGB3,P02671,P05106,1
GDF5,BMPR1B_BMPR2,P43026,O00238_Q13873,1
AGRN,LRP4,O00468,O75096,1
GLS2_SLC1A3,GRIA3,COMPLEX:P43003_Q9UI32,P42263,1
WNT10A,FZD10_LRP6,Q9GZT5,Q9ULW2_O75581,1
VEGFA,FLT1,P15692,P17948,1
LAMB3,SV2B,Q13751,Q7L1I2,1
IL4,IL13RA2_IL4R,P05112,Q14627_P24394,1
COL4A5,SDC4,P29400,P31431,1
LAMB3,ITGB1,Q13751,P05556,1
COL4A4,ITGA2_ITGB1,P53420,P17301_P05556,1
SELPLG,ITGB2,Q14242,P05107,1
IL25,IL17RA_IL17RB,Q9H293,Q96F46_Q9NRM6,1
HLA-G,KLRC1,P17693,P26715,1
BTC,ERBB3,P35070,P21860,1
RNF43,FZD3_LRP6,Q68DV7,Q9NPG1_O75581,1
HBEGF,ERBB2,Q99075,P04626,1
TENM1,ADGRL2,Q9UKZ4,O95490,1
SLURP2,CHRNA5,P0DP57,P30532,1
WNT8B,FZD2_LRP6,Q93098,Q14332_O75581,1
COL4A4,CD47,P53420,Q08722,1
RSPO2,WNT8B,Q6UXX9,Q93098,1
EFNB1,EPHB2,P98172,P29323,1
FN1,COL13A1,P02751,Q5TAT6,1
PVR,TIGIT,P15151,Q495A1,1
GLS_SLC17A6,GRM4,COMPLEX:O94925_Q9P2U8,Q14833,1
LAMC2,ITGA6,Q13753,P23229,1
FGG,ITGB3,P02679,P05106,1
FARP2,PLXNA4,O94887,Q9HCM2,1
GAD1_SLC6A12,GABRA3_GABRB3_GABRQ,COMPLEX:P48065_Q99259,NA_NA_NA,1
ADM,GPR20,P35318,Q99678,1
GLS2_SLC1A3,GRM7,COMPLEX:P43003_Q9UI32,Q14831,1
CNTF,CNTFR_IL6ST_LIFR,P26441,P26992_P40189_P42702,1
EGFR,EPGN,P00533,Q6UW88,1
WNT3,FZD2_LRP6,P56703,Q14332_O75581,1
IHH,BOC_PTCH1,Q14623,Q9BWV1_Q13635,1
CCL4,CCR5,P13236,P51681,1
CCL7,CCR5,P80098,P51681,1
GNAS,TSHR,Q5JWF2,P16473,1
CXCL1,CXCR1,P09341,P25024,1
COL4A6,ITGA2_ITGB1,Q14031,P17301_P05556,1
TENM3,ADGRL3,Q9P273,Q9HAR2,1
CCL7,ACKR2,P80098,O00590,1
IFNW1,IFNAR1_IFNAR2,P05000,P17181_P48551,1
CXCL1,ADRA2A,P09341,P08913,1
TGFB1,ITGB5,P01137,P18084,1
APOB,TREM2_TYROBP,P04114,Q9NZC2_O43914,1
RGMA,NEO1,Q96B86,Q92859,1
SPTAN1,PTPRA,Q13813,P18433,1
TIGIT,NECTIN2,Q495A1,Q92692,1
PLAU,LRP1,P00749,Q07954,1
CNTF,CNTFR,P26441,P26992,1
TNFSF11,TNFRSF11A,O14788,Q9Y6Q6,1
NPS,NPSR1,P0C0P6,Q6W5P4,1
CHRM3,ARF1,P20309,P84077,1
TGM2,TBXA2R,P21980,P21731,1
HGF,SDC1,P14210,P18827,1
EFNA4,EPHA4,P52798,P54764,1
ICAM4,ITGAL,Q14773,P20701,1
DAGLB,GPR55,COMPLEX:Q8NCG7,Q9Y2T6,1
ADM2,ADRB2,Q7Z4H4,P07550,1
DRAXIN,WNT9A,Q8NBI3,O14904,1
GAL,GALR1,P22466,P47211,1
WNT1,FZD6_LRP6,P04628,O60353_O75581,1
ADM2,CALCRL_GPER1_RAMP3,Q7Z4H4,Q16602_Q99527_O60896,1
GLS_SLC1A7,GRM4,COMPLEX:O00341_O94925,Q14833,1
TAC1,TACR2,P20366,P21452,1
CP,SLC40A1,P00450,Q9NP59,1
DDC,HTR1A,COMPLEX:P20711,P08908,1
LHB,GPR20,P01229,Q99678,1
GLS2_SLC17A7,GRIA3,COMPLEX:Q9P2U7_Q9UI32,P42263,1
SFRP1,WNT10A,Q8N474,Q9GZT5,1
FPR1,ANXA1,P21462,P04083,1
RSPO3,LGR4,Q9BXY4,Q9BXB1,1
CCL28,GRM7,Q9NRJ3,Q14831,1
PTPRF,LRRC4B,P10586,Q9NT99,1
THBS2,NOTCH4,P35442,Q99466,1
INHBA,TGFB2,P08476,P61812,1
HLA-E,CD8A,P13747,P01732,1
DKK1,WNT8B,O94907,Q93098,1
SEMA3C,NRP1,Q99985,O14786,1
FN1,ITGA3,P02751,P26006,1
FGF4,FGFR3,P08620,P22607,1
SOSTDC1,WNT8B,Q6X4U4,Q93098,1
MDK,TSPAN1,P21741,O60635,1
GLS2_SLC1A6,GRIN1_GRIN2D,COMPLEX:P48664_Q9UI32,NA_O15399,1
GAD1_SLC6A12,GABRA4_GABRB3_GABRD,COMPLEX:P48065_Q99259,NA_NA_NA,1
TAC1,TACR3,P20366,P29371,1
GAD1_SLC6A6,GABRA1_GABRB3_GABRG2,COMPLEX:P31641_Q99259,NA_NA_NA,1
IAPP,TSHR,P10997,P16473,1
COL4A5,CD93,P29400,Q9NPY3,1
WNT4,FZD6,P56705,O60353,1
THPO,MPL,P40225,P40238,1
SLPI,CD4,P03973,P01730,1
GAD2_SLC6A6,GABRA3_GABRB3_GABRQ,COMPLEX:P31641_Q05329,NA_NA_NA,1
IL15,IL15RA,P40933,Q13261,1
BAMBI,ACVR1B_ACVR2A,Q13145,P36896_P27037,1
TNC,CNTN1,P24821,Q12860,1
IGFBP6,IGF1,P24592,P05019,1
WNT10A,FZD8_LRP5,Q9GZT5,Q9H461_O75197,1
COL4A3,CD44,Q01955,P16070,1
CD48,CD244,P09326,Q9BZW8,1
GDF7,BMPR1B_BMPR2,Q7Z4P5,O00238_Q13873,1
HBEGF,ERBB2_ERBB4,Q99075,P04626_Q15303,1
SHMT2_SLC6A9,GLRA1_GLRB,COMPLEX:P34897_P48067,NA_NA,1
RAET1E,KLRK1,Q8TD07,P26718,1
DKK2,LRP6,Q9UBU2,O75581,1
COL18A1,KDR,P39060,P35968,1
COL2A1,OR1E1,P02458,P30953,1
GAD1_SLC32A1,GABRA1_GABRB2,COMPLEX:Q99259_Q9H598,NA_NA,1
QRFP,P2RY14,P83859,Q15391,1
PNMT,ADRB1,COMPLEX:P11086,P08588,1
CCL8,CCR1,P80075,P32246,1
WNT2,FZD9_LRP6,P09544,O00144_O75581,1
ANGPTL1,TEK,O95841,Q02763,1
INHBC,GDF1,P55103,P27539,1
TNFSF4,TNFRSF4,P23510,P43489,1
CD14,ITGA4,P08571,P13612,1
THBS1,CD36,P07996,P16671,1
PDGFC,FLT1,Q9NRA1,P17948,1
COL4A2,ITGA3_ITGB1,P08572,P26006_P05556,1
CER1,WNT9A,O95813,O14904,1
GCG,GPR20,P01275,Q99678,1
PDAP1,PDGFRB,Q13442,P09619,1
CXCL10,GRM7,P02778,Q14831,1
KISS1,MMP24,Q15726,Q9Y5R2,1
ANOS1,FGFR1,P23352,P11362,1
NPS,GPR84,P0C0P6,Q9NQS5,1
CALM3,GRM7,P0DP25,Q14831,1
TAC4,TACR3,Q86UU9,P29371,1
TNC,PTPRZ1,P24821,P23471,1
CALM3,PLPP6,P0DP25,Q8IY26,1
ZNRF3,FZD3_LRP6,Q9ULT6,Q9NPG1_O75581,1
GAD1_SLC6A12,GABRA2_GABRB3_GABRG2,COMPLEX:P48065_Q99259,NA_NA_NA,1
COL5A2,ITGB1,P05997,P05556,1
GAD1_SLC6A1,GABRA4_GABRB2_GABRD,COMPLEX:P30531_Q99259,NA_NA_NA,1
TGFB1,TGFBR3,P01137,Q03167,1
SLC6A4_TPH2,HTR5A,COMPLEX:P31645_Q8IWU9,P47898,1
SERPINE1,LRP2,P05121,P98164,1
SLURP1,CHRNA4,P55000,P43681,1
GAD2_SLC6A12,GABRA6_GABRB3_GABRG2,COMPLEX:P48065_Q05329,NA_NA_NA,1
COL1A1,ITGB1,P02452,P05556,1
GAD1_SLC6A1,GABRA1_GABRB3_GABRG2,COMPLEX:P30531_Q99259,NA_NA_NA,1
TG,LRP2,P01266,P98164,1
CALM1,MIP,P0DP23,P30301,1
SLC18A2_TPH2,HTR2A,COMPLEX:Q05940_Q8IWU9,P28223,1
RLN2,TSHR,P04090,P16473,1
IGFBP4,LRP6,P22692,O75581,1
IGFBP1,IGF1,P08833,P05019,1
LIN7C,HTR2C,Q9NUP9,P28335,1
DKK1,WNT6,O94907,Q9Y6F9,1
SLURP1,CHRNB4,P55000,P30926,1
IFNB1,IFNAR1_IFNAR2,P01574,P17181_P48551,1
OXT,AVPR1A,P01178,P37288,1
EPHA4,B4DXG7,P54764,B4DXG7,1
ERBB2,EFNB1,P04626,P98172,1
COL6A5,SDC4,A8TX70,P31431,1
PPY,GRM7,P01298,Q14831,1
EPHB2,EFNA5,P29323,P52803,1
CCL25,ACKR2,O15444,O00590,1
IL36B,IL36RN,Q9NZH7,Q9UBH0,1
APCDD1,FZD5_LRP5,Q8J025,Q13467_O75197,1
PTGDS,PTGDR2,COMPLEX:P41222,Q9Y5Y4,1
PENK,MRGPRX1,P01210,Q96LB2,1
PPBP,CXCR1,P02775,P25024,1
PTHLH,PTH1R,P12272,Q03431,1
COL9A2,ITGA11_ITGB1,Q14055,Q9UKX5_P05556,1
GAL,GALR3,P22466,O60755,1
FGF6,FGFR3,P10767,P22607,1
LAMA2,CD44,P24043,P16070,1
CRIPTO,ACVR1C,P13385,Q8NER5,1
EDA,EDAR,Q92838,Q9UNE0,1
ALDH1A1,CRABP2_RXRA,COMPLEX:P00352,NA_P19793,1
GLS_SLC17A6,GRIA1,COMPLEX:O94925_Q9P2U8,P42261,1
SFRP4,WNT9A,Q6FHJ7,O14904,1
C5,C5AR2,P01031,Q9P296,1
GLS2_SLC1A6,GRM4,COMPLEX:P48664_Q9UI32,Q14833,1
WNT4,FZD7_LRP5,P56705,O75084_O75197,1
CAMP,EGFR,P49913,P00533,1
OXT,AVPR1B,P01178,P47901,1
GLS_SLC1A3,GRIN1_GRIN2A,COMPLEX:O94925_P43003,NA_NA,1
SERPINE1,ITGB5,P05121,P18084,1
COMP,CD36,P49747,P16671,1
DRAXIN,WNT7A,Q8NBI3,O00755,1
PNOC,OPRL1,Q13519,P41146,1
SPP1,ITGB1,P10451,P05556,1
GAD2_SLC6A6,GABBR2,COMPLEX:P31641_Q05329,O75899,1
CCL27,ADRA2A,Q9Y4X3,P08913,1
RNF43,FZD2_LRP6,Q68DV7,Q14332_O75581,1
GLS_SLC1A3,GRIK2_GRIK4,COMPLEX:O94925_P43003,Q13002_NA,1
NRG1,ERBB2_ERBB3,Q02297,P04626_P21860,1
IFNL2,IL10RB,Q8IZJ0,Q08334,1
IFNL3,IL10RB,Q8IZI9,Q08334,1
CER1,WNT3,O95813,P56703,1
LRFN5,PTPRF,Q96NI6,P10586,1
NID2,COL13A1,Q14112,Q5TAT6,1
IHH,PTCH1,Q14623,Q13635,1
AFDN,EPHB2,P55196,P29323,1
COL4A1,ITGA11_ITGB1,P02462,Q9UKX5_P05556,1
LAMA2,SV2A,P24043,Q7L0J3,1
GLS2_SLC1A1,GRIN1_GRIN2A,COMPLEX:P43005_Q9UI32,NA_NA,1
ADGRE5,LPAR2,P48960,Q9HBW0,1
CGA,RAMP3,P01215,O60896,1
SPP1,ITGA5,P10451,P08648,1
FGF18,FGFR2,O76093,P21802,1
COL4A1,CD44,P02462,P16070,1
COL18A1,ITGB5,P39060,P18084,1
IL12A,IL12RB1,P29459,P42701,1
FGF11,FGFR3,Q92914,P22607,1
SLC18A1_TPH1,HTR6,COMPLEX:P17752_P54219,P50406,1
PORCN,WNT10B,Q9H237,O00744,1
GIP,VIPR1,P09681,P32241,1
GLS2_SLC1A1,GRIN1_GRIN2C,COMPLEX:P43005_Q9UI32,NA_Q14957,1
CGA,GPR20,P01215,Q99678,1
FRAS1_FREM2_NPNT,ITGA8_ITGB1,COMPLEX:Q5SZK8_Q6UXI9_Q86XX4,P53708_P05556,1
NMB,BRS3,P08949,P32247,1
COL1A1,ITGA11_ITGB1,P02452,Q9UKX5_P05556,1
AGRN,DAG1,O00468,Q14118,1
RLN3,GPR20,Q8WXF3,Q99678,1
IL33,IL1RAP,O95760,Q9NPH3,1
NTN3,CDON,O00634,Q4KMG0,1
EBI3_IL12A,IL12RB2_IL6ST,COMPLEX:P29459_Q14213,Q99665_P40189,1
PTGES2,PTGER3,COMPLEX:Q9H7Z7,P43115,1
