ligand,receptor,source,target,label
IL25,IL17RB,Q9H293,Q9NRM6,1
IL24,IL20RB,Q13007,Q6UXL0,1
MMP2,SDC2,P08253,P34741,1
FGF1,FGFRL1,P05230,Q8N441,1
APP,LRP1,P05067,Q07954,1
CX3CL1,CX3CR1,P78423,P49238,1
PTHLH,ADCYAP1R1,P12272,P41586,1
SEMA3A,NRP1,Q14563,O14786,1
COL11A1,ITGA2,P12107,P17301,1
CFH,ITGAM,P08603,P11215,1
GDF1,ACVR2A,P27539,P27037,1
THBS1,ITGA2B,P07996,P08514,1
TENM3,ADGRL3,Q9P273,Q9HAR2,1
GAD1_SLC6A6,GABRA1_GABRB2_GABRG2,COMPLEX:P31641_Q99259,NA_NA_NA,1
CALM1,INSR,P0DP23,P06213,1
FGF1,FGFR3,P05230,P22607,1
DKK1,WNT9B,O94907,O14905,1
CALM2,PLPP6,P0DP24,Q8IY26,1
SFRP1,WNT10B,Q8N474,O00744,1
GLS_SLC1A7,GRIA3,COMPLEX:O00341_O94925,P42263,1
TGFB3,TGFBR2,P10600,P37173,1
IGFBP3,IGF2,P17936,P01344,1
RSPO3,WNT6,Q9BXY4,Q9Y6F9,1
INHA,ACVR1C_ACVR2A,P05111,Q8NER5_P27037,1
IL20,IL20RB,Q9NYY1,Q6UXL0,1
GAD2_SLC32A1,GABRA3_GABRB3_GABRQ,COMPLEX:Q05329_Q9H598,NA_NA_NA,1
IGFBP4,WNT9B,P22692,O14905,1
LAMC2,ITGA3,Q13753,P26006,1
EGF,FSHR,P01133,P23945,1
BMP5,BMPR1A_BMPR2,P22003,P36894_Q13873,1
FGF7,FGFR3,P21781,P22607,1
COLQ,MUSK,Q9Y215,O15146,1
DKK1,WNT3,O94907,P56703,1
NRXN3,NLGN2,Q9Y4C0,Q8NFZ4,1
IFNG,IFNG_IFNGR1,P01579,P01579_P15260,1
GLS_SLC1A3,GRIN1_GRIN2D,COMPLEX:O94925_P43003,NA_O15399,1
NRTN,RET,Q99748,P07949,1
PTHLH,ADRB3,P12272,P13945,1
WNT8A,FZD7_LRP5,Q9H1J5,O75084_O75197,1
IL13,IL13_IL13RA1_IL4R,P35225,P35225_P78552_P24394,1
EDN1,EDNRA,P05305,P25101,1
INHBC,ACVR2A,P55103,P27037,1
FGF12,FGFR4,P61328,P22455,1
LAMA3,ITGA6_ITGB4,Q16787,P23229_P16144,1
CGA,ADCYAP1R1,P01215,P41586,1
EPHB3,EFNB3,P54753,Q15768,1
SOSTDC1,WNT3,Q6X4U4,P56703,1
SPP1,ITGA5,P10451,P08648,1
ADM2,GPR20,Q7Z4H4,Q99678,1
FGA,ITGA5,P02671,P08648,1
WNT9B,FZD8_LRP5,O14905,Q9H461_O75197,1
C6orf15,DDR1,Q6UXA7,Q08345,1
PDGFC,PDGFRA,Q9NRA1,P16234,1
WNT2,FZD5_LRP5,P09544,Q13467_O75197,1
CALCB,ADRB2,P10092,P07550,1
GAD1_SLC6A12,GABRA1_GABRB3_GABRG2,COMPLEX:P48065_Q99259,NA_NA_NA,1
BMP2,ACVR2A_BMPR1A,P12643,P27037_P36894,1
INHA,TGFBR3,P05111,Q03167,1
DKK4,WNT9B,Q9UBT3,O14905,1
BMP2,ACVR2B_BMPR1B,P12643,Q13705_O00238,1
LAMC1,SV2C,P11047,Q496J9,1
GLS2_SLC1A3,GRM7,COMPLEX:P43003_Q9UI32,Q14831,1
GAD2_SLC6A6,GABRA4_GABRB2_GABRD,COMPLEX:P31641_Q05329,NA_NA_NA,1
L1CAM,EPHB2,P32004,P29323,1
SLC18A1_TPH1,HTR1B,COMPLEX:P17752_P54219,P28222,1
CD274,PDCD1,Q9NZQ7,Q15116,1
GDF11,ACVR2B,O95390,Q13705,1
SEMA4D,PLXNB2,Q92854,O15031,1
HAS2,HMMR,Q92819,O75330,1
COL4A3,ADGRG6,Q01955,Q86SQ4,1
NCAM1,ROBO1,P13591,Q9Y6N7,1
CHAT_SLC5A7,CHRM5,COMPLEX:P28329_Q9GZV3,P08912,1
PTPRB,ITGA5_ITGB1,P23467,P08648_P05556,1
SST,GRM7,P61278,Q14831,1
CCL25,ACKR2,O15444,O00590,1
GAD1_SLC6A6,GABRA4_GABRB3_GABRD,COMPLEX:P31641_Q99259,NA_NA_NA,1
HSP90B1,LRP1,P14625,Q07954,1
SHH,CDON,Q15465,Q4KMG0,1
DUSP18,CD151,Q8NEJ0,P48509,1
WIF1,WNT7A,Q9Y5W5,O00755,1
IL16,CCR5,Q14005,P51681,1
SLC18A2_TPH1,HTR2C,COMPLEX:P17752_Q05940,P28335,1
SLURP1,CHRNG,P55000,P07510,1
SELE,SELPLG,P16581,Q14242,1
DPEP2,CYSLTR2,COMPLEX:Q9H4A9,Q9NS75,1
GGT1,CYSLTR2,COMPLEX:P19440,Q9NS75,1
LHB,ADCYAP1R1,P01229,P41586,1
HSP90B1,TLR1,P14625,Q15399,1
LY6G5C,PGAP6,Q5SRR4,Q9HCN3,1
RSPO1,WNT7B,Q2MKA7,P56706,1
ICAM3,CLEC4M,P32942,Q9H2X3,1
SLURP2,CHRNB4,P0DP57,P30926,1
UBA52,AGTR1,P62987,P30556,1
GLS_SLC17A7,GRIA1,COMPLEX:O94925_Q9P2U7,P42261,1
SHMT2_SLC6A5,GLRA1_GLRB,COMPLEX:P34897_Q9Y345,NA_NA,1
CCL2,CCR2,P13500,P41597,1
PVR,CD226,P15151,Q15762,1
PSEN1,NOTCH2,P49768,Q04721,1
C3,GRM7,P01024,Q14831,1
NRG3,ERBB4,P56975,Q15303,1
ADAM9,ITGA3,Q13443,P26006,1
NTNG2,LRRC4,Q96CW9,Q9HBW1,1
SHH,HHIP,Q15465,Q96QV1,1
GNRH2,GNRHR,O43555,P30968,1
PDYN,OPRK1,P01213,P41145,1
GAD2_SLC6A11,GABRA6_GABRB3_GABRD,COMPLEX:P48066_Q05329,NA_NA_NA,1
COL4A5,CD47,P29400,Q08722,1
WNT8A,FZD4_LRP5,Q9H1J5,Q9ULV1_O75197,1
PLG,IGF2R,P00747,P11717,1
WNT3A,FZD9_LRP5,P56704,O00144_O75197,1
GLS_SLC1A2,GRIN1_GRIN2D,COMPLEX:O94925_P43004,NA_O15399,1
SFRP5,WNT7B,Q5T4F7,P56706,1
SELP,SELPLG,P16109,Q14242,1
PDYN,GRM7,P01213,Q14831,1
HGF,SDC2,P14210,P34741,1
GDF7,ACVR2B_BMPR1A,Q7Z4P5,Q13705_P36894,1
IL36RN,IL36B,Q9UBH0,Q9NZH7,1
SOST,WNT9A,Q9BQB4,O14904,1
WNT2,FZD4_LRP6,P09544,Q9ULV1_O75581,1
PDGFC,PDGFRB,Q9NRA1,P09619,1
DLL1,NOTCH1,O00548,P46531,1
GAD2_SLC6A13,GABRA6_GABRB3_GABRG2,COMPLEX:Q05329_Q9NSD5,NA_NA_NA,1
WNT10B,FZD5_LRP5,O00744,Q13467_O75197,1
GNAS,PTGIR,Q5JWF2,P43119,1
PLG,PLGRKT,P00747,Q9HBL7,1
VEGFB,NRP1,P49765,O14786,1
GAD1_SLC6A11,GABRA1_GABRB3_GABRG2,COMPLEX:P48066_Q99259,NA_NA_NA,1
SFRP2,WNT8A,Q96HF1,Q9H1J5,1
ACTR2,LRP2,P61160,P98164,1
ZNRF3,FZD9_LRP6,Q9ULT6,O00144_O75581,1
GLS2_SLC17A8,GRIN1_GRIN2C,COMPLEX:Q8NDX2_Q9UI32,NA_Q14957,1
CSF1,CSF1R,P09603,P07333,1
SLC18A2_TPH1,HTR1D,COMPLEX:P17752_Q05940,P28221,1
SERPINF1,WNT3A,P36955,P56704,1
CYP11B1,NR3C1,COMPLEX:P15538,P04150,1
BAMBI,ACVR1B_TGFBR2,Q13145,P36896_P37173,1
WNT2B,FZD6_LRP6,Q93097,O60353_O75581,1
F12,CD93,P00748,Q9NPY3,1
CSH1,PRLR,P0DML2,P16471,1
APOB,ITGB2,P04114,P05107,1
FST,INHBC,P19883,P55103,1
WNT2B,FZD9_LRP6,Q93097,O00144_O75581,1
GALP,GALR1,Q9UBC7,P47211,1
WNT7B,FZD1_LRP6,P56706,Q9UP38_O75581,1
GAD2_SLC6A6,GABRA4_GABRB3_GABRG2,COMPLEX:P31641_Q05329,NA_NA_NA,1
GAD2_SLC6A1,GABRA1_GABRB2_GABRD,COMPLEX:P30531_Q05329,NA_NA_NA,1
BMP3,ACVR1,P12645,Q04771,1
CSHL1,PRLR,Q14406,P16471,1
CALM3,KCNQ1,P0DP25,P51787,1
LGALS3BP,VANGL1,Q08380,Q8TAA9,1
IL19,IL20RA,Q9UHD0,Q9UHF4,1
ADM,GPR84,P35318,Q9NQS5,1
APCDD1,FZD9_LRP6,Q8J025,O00144_O75581,1
BMP3,BMPR1B,P12645,O00238,1
HLA-DMB,CD4,P28068,P01730,1
WNT10A,FZD3_LRP6,Q9GZT5,Q9NPG1_O75581,1
CCL2,CCR1,P13500,P32246,1
CCL11,CXCR3,P51671,P49682,1
SLC6A4_TPH1,HTR2C,COMPLEX:P17752_P31645,P28335,1
PF4V1,SDC2,P10720,P34741,1
IL23A,IL12RB2,Q9NPF7,Q99665,1
HRAS,TLR2,P01112,O60603,1
PF4V1,LDLR,P10720,P01130,1
AFDN,NECTIN2,P55196,Q92692,1
EFNA1,EPHA2,P20827,P29317,1
AVP,AVPR2,P01185,P30518,1
GDNF,RET,P39905,P07949,1
CNTF,LIFR,P26441,P42702,1
LAMA5,ITGA6_ITGB4,O15230,P23229_P16144,1
LAMB1,ITGA3,P07942,P26006,1
CALCB,GPR20,P10092,Q99678,1
COL4A6,SDC1,Q14031,P18827,1
FGF20,FGFR3,Q9NP95,P22607,1
GLS_SLC1A1,GRIA3,COMPLEX:O94925_P43005,P42263,1
HCRT,HCRTR2,O43612,O43614,1
GLS2_SLC1A2,GRIK1,COMPLEX:P43004_Q9UI32,P39086,1
RLN3,ADRA2A,Q8WXF3,P08913,1
DKK4,WNT7B,Q9UBT3,P56706,1
PTN,PTPRB,P21246,P23467,1
APOB,VLDLR,P04114,P98155,1
CSF2,CSF2RA,P04141,P15509,1
CALM1,OPRM1,P0DP23,P35372,1
CFC1,ACVR1B,P0CG37,P36896,1
COL9A3,CD44,Q14050,P16070,1
INHBB,ACVR1B_ACVR2A,P09529,P36896_P27037,1
WNT7B,FZD7_LRP5,P56706,O75084_O75197,1
ROR1,FZD10,Q01973,Q9ULW2,1
WNT2B,FZD3_LRP5,Q93097,Q9NPG1_O75197,1
WNT4,FZD3_LRP5,P56705,Q9NPG1_O75197,1
HLA-A,CD3D,P04439,P04234,1
NCAM1,ROBO3,P13591,Q96MS0,1
INHBC,ACVR2B,P55103,Q13705,1
RYK,FZD2,P34925,Q14332,1
CCL5,ACKR1,P13501,Q16570,1
SAA1,GRM7,P0DJI8,Q14831,1
VWF,ITGA2B,P04275,P08514,1
INHBC,ACVR1C_ACVR2B,P55103,Q8NER5_Q13705,1
SEMA6A,PLXNA4,Q9H2E6,Q9HCM2,1
DLK1,NOTCH2,P80370,Q04721,1
GREM1,BMP8B,O60565,P34820,1
IL16,CD4,Q14005,P01730,1
F11R,F11R,Q9Y624,Q9Y624,1
TNFSF15,CCR9,O95150,P51686,1
HCRT,HCRTR1,O43612,O43613,1
GAD2_SLC6A8,GABRA1_GABRB2,COMPLEX:P48029_Q05329,NA_NA,1
FGF6,FGFR1,P10767,P11362,1
LAMA5,ITGA3,O15230,P26006,1
GAD1_SLC6A13,GABRA1_GABRB3_GABRG2,COMPLEX:Q99259_Q9NSD5,NA_NA_NA,1
COL1A1,ITGA2_ITGB1,P02452,P17301_P05556,1
HSPG2,LRP1,P98160,Q07954,1
ACTR2,LDLR,P61160,P01130,1
CCL5,CCR4,P13501,P51679,1
COL4A1,CD47,P02462,Q08722,1
GLS2_SLC17A8,GRIK2_GRIK5,COMPLEX:Q8NDX2_Q9UI32,Q13002_NA,1
IL22,IL10RA,Q9GZX6,Q13651,1
RBP3,NOTCH1,P10745,P46531,1
TPH1,HTR1A,P17752,P08908,1
JAG2,NOTCH4,Q9Y219,Q99466,1
IFNW1,IFNAR1_IFNAR2,P05000,P17181_P48551,1
LAMA2,DAG1,P24043,Q14118,1
INHA,ACVR1,P05111,Q04771,1
GAD2_SLC6A6,GABRA3_GABRB3_GABRE,COMPLEX:P31641_Q05329,NA_NA_NA,1
WNT7B,FZD8_LRP6,P56706,Q9H461_O75581,1
VEGFD,KDR,O43915,P35968,1
GLS_SLC1A1,GRIA4,COMPLEX:O94925_P43005,P48058,1
GDF15,TGFBR2,Q99988,P37173,1
INHBA,ACVR1B,P08476,P36896,1
IFNA8,IFNAR2,P32881,P48551,1
DDC,DRD2,COMPLEX:P20711,P14416,1
GAL,GALR1_GPR151,P22466,P47211_Q8TDV0,1
TFPI,F3,P10646,P13726,1
CCL27,CCR3,Q9Y4X3,P51677,1
COL6A3,ITGAV_ITGB8,P12111,P06756_P26012,1
CALM1,KCNQ5,P0DP23,Q9NR82,1
IFNB1,IFNAR2,P01574,P48551,1
WNT4,FZD1,P56705,Q9UP38,1
IL1B,IL1R2,P01584,P27930,1
DDC,HTR3E,COMPLEX:P20711,A5X5Y0,1
GAD1_SLC6A11,GABRA4_GABRB3_GABRD,COMPLEX:P48066_Q99259,NA_NA_NA,1
HLA-F,CD8B2,P30511,A6NJW9,1
SFRP5,WNT3A,Q5T4F7,P56704,1
EDN2,EDNRA,P20800,P25101,1
DDC_SLC18A2,DRD5,COMPLEX:P20711_Q05940,P21918,1
CHAT,CHRM5,COMPLEX:P28329,P08912,1
APP,CD74,P05067,P04233,1
CALM1,MYLK,P0DP23,Q15746,1
LAMC2,ITGA6,Q13753,P23229,1
CALCA,VIPR1,P06881,P32241,1
ZNRF3,FZD4_LRP5,Q9ULT6,Q9ULV1_O75197,1
IL11,IL11RA,P20809,Q14626,1
PLAT,ITGB2,P00750,P05107,1
COL4A6,ADGRG6,Q14031,Q86SQ4,1
EMILIN1,TGFB1,Q9Y6C2,P01137,1
APOB,LDLR,P04114,P01130,1
FGF6,FGFR3,P10767,P22607,1
PLXNA4,SEMA6A,Q9HCM2,Q9H2E6,1
TGFB1,ITGB8,P01137,P26012,1
GLS2_SLC17A7,GRIN1_GRIN2B,COMPLEX:Q9P2U7_Q9UI32,NA_NA,1
GIP,INSR,P09681,P06213,1
SLC6A4_TPH1,HTR1F,COMPLEX:P17752_P31645,P30939,1
CNTNAP1,RTN4,P78357,Q9NQC3,1
FST,NODAL,P19883,Q96S42,1
INSL5,MTNR1A,Q9Y5Q6,P48039,1
WNT5B,FZD5,Q9H1J7,Q13467,1
NPY,PRLHR,P01303,P49683,1
TNFSF14,TNFRSF14,O43557,Q92956,1
CLEC3A,CLEC10A,O75596,Q8IUN9,1
EPHB2,EFNB3,P29323,Q15768,1
GZMA,F2RL1,P12544,P55085,1
ZNRF3,FZD10_LRP5,Q9ULT6,Q9ULW2_O75197,1
RSPO3,WNT1,Q9BXY4,P04628,1
AVP,ADCYAP1R1,P01185,P41586,1
ICAM4,ITGA2B,Q14773,P08514,1
SOSTDC1,LRP6,Q6X4U4,O75581,1
SCGB3A1,MARCO,Q96QR1,Q9UEW3,1
HEBP1,FPR3,Q9NRV9,P25089,1
CRH,VIPR1,P06850,P32241,1
GLS2_SLC1A7,GRIA2,COMPLEX:O00341_Q9UI32,P42262,1
TNFRSF10A,TNFSF10,O00220,P50591,1
GLS_SLC17A6,GRIN1_GRIN2C,COMPLEX:O94925_Q9P2U8,NA_Q14957,1
KNG1,RXFP4,P01042,Q8TDU9,1
THBS1,SCARB1,P07996,Q8WTV0,1
AVP,AVPR1B,P01185,P47901,1
COL9A2,ITGA9_ITGB1,Q14055,Q13797_P05556,1
IL36G,IL1RL2,Q9NZH8,Q9HB29,1
GLS_SLC1A1,GRIA2,COMPLEX:O94925_P43005,P42262,1
COL1A1,DDR2,P02452,Q16832,1
WNT3A,FZD6_LRP5,P56704,O60353_O75197,1
WNT10A,FZD3_LRP5,Q9GZT5,Q9NPG1_O75197,1
EFEMP2,LINGO1,O95967,Q96FE5,1
NOTUM,WNT9A,Q6P988,O14904,1
ITGA4_ITGB7,VCAM1,COMPLEX:P13612_P26010,P19320,1
RGMA,NEO1,Q96B86,Q92859,1
VEGFA,EPHB2,P15692,P29323,1
GAD2_SLC6A6,GABRA3_GABRB3_GABRQ,COMPLEX:P31641_Q05329,NA_NA_NA,1
AZGP1,ITGAV,P25311,P06756,1
GLS2_SLC17A6,GRIN1_GRIN2B,COMPLEX:Q9P2U8_Q9UI32,NA_NA,1
NT5E_SLC29A2,ADORA2A,COMPLEX:P21589_Q14542,P29274,1
CD34,SELP,P28906,P16109,1
NPW,NPBWR1,Q8N729,P48145,1
GAS1,PTCH2_SMO,P54826,Q9Y6C5_Q99835,1
NRG3,ERBB3,P56975,P21860,1
PPY,MTNR1A,P01298,P48039,1
IL6,A0A087WTB5,P05231,A0A087WTB5,1
RLN2,GPR84,P04090,Q9NQS5,1
HLA-E,SLC16A4,P13747,O15374,1
COL9A3,GP6,Q14050,Q9HCN6,1
WNT3,FZD7_LRP6,P56703,O75084_O75581,1
ADM2,CALCR,Q7Z4H4,P30988,1
MMP7,CDH6,P09237,P55285,1
COMP,ITGB3,P49747,P05106,1
IGFBP4,WNT2,P22692,P09544,1
